factor_id,hierarchy,component_group,factor_name,formula_summary,parameter_class,type,current_value,unit,permitted_min,permitted_max,low_level,centre_level,high_level,transformation,depends_on,invalid_combinations,likely_interactions,expected_direction,source,data_availability,reconstruction_status,leakage_risk
O_MRS,OFactor,MRS,Market Regime Support,0.30 IndexTrend + 0.25 MarketBreadth + 0.20 VolatilitySuitability + 0.25 MarketPersistence,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.08,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,OFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
O_SRS,OFactor,SRS,Sector and Industry Support,0.25 SectorTrend + 0.25 SectorRelativeStrength + 0.20 SectorBreadth + 0.15 PeerConfirmation + 0.15 SectorMoneyFlow,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.14,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,OFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
O_TQS,OFactor,TQS,Trend Quality,0.30 MultiTimeframeAlignment + 0.25 MarketStructure + 0.20 MovingAverageQuality + 0.15 BreakoutAcceptance + 0.10 TrendPersistence,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.18,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,OFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
O_RSS,OFactor,RSS,Relative Strength,0.40 StockVsMarket + 0.35 StockVsSector + 0.15 UniversePercentile + 0.10 AdverseMarketResilience,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.1,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,OFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
O_MFS,OFactor,MFS,Money Flow and Participation,0.25 RVOLQuality + 0.20 TradedValueStrength + 0.20 DirectionalVolumePressure + 0.15 AccumulationDistribution + 0.10 VolumeProfileAcceptance + 0.10 ParticipationConfirmation,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.18,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,OFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
O_MQS,OFactor,MQS,Momentum Quality,0.25 ROCQuality + 0.20 RSIRegime + 0.20 ImpulseSlope + 0.20 MomentumContinuity + 0.15 ExhaustionControl,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.12,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,OFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
O_ICS,OFactor,ICS,Institutional Confirmation,F&O or cash-specific institutional-style participation composite,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.1,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,OFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
O_LTS,OFactor,LTS,Liquidity and Tradability,0.30 TradedValuePercentile + 0.20 SpreadQuality + 0.20 DepthQuality + 0.15 ImpactCostQuality + 0.15 SlippageStability,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.06,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,OFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
O_CCS,OFactor,CCS,Catalyst and Context,0.40 CatalystRelevance + 0.30 CatalystFreshness + 0.30 MarketConfirmation,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.04,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,OFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
X_SIS,XFactor,SIS,Setup Integrity,0.30 PatternCompleteness + 0.25 StructureAlignment + 0.20 SetupState + 0.15 VolumeBehaviour + 0.10 FailureControl,COMPONENT_WEIGHT_AND_INCLUSION,CONSTRAINED_WEIGHT,0.18,fraction_of_score,0.0,0.35,0.50x baseline then renormalise,1.00x baseline,1.50x baseline then renormalise,compositional; preserve sum=1.0,internal atomic subcomponents,all weights zero; mandatory component unavailable,market/sector/trend; setup/location/trigger; liquidity/cost,unknown until controlled OOS test,XFactor.docx,component scores required at event level,NOT_AVAILABLE_IN_CURRENT_LITE_RESULTS,medium; availability_at and completed-candle semantics required
