strategy_id,display_name,family,wave,data_tier,entry_detector_status,dependency_state,workload
CTL01,Fixed-Time 10:00–15:00 Control,Control,1,D1,ASSUMPTION_ENGINE_V1,AVAILABLE_STOCK_CSV,CTL01/workload.json
CTL02,Open-to-Close Long Control,Control,1,D1,ASSUMPTION_ENGINE_V1,AVAILABLE_STOCK_CSV,CTL02/workload.json
CTL03,Simple VWAP Reclaim Baseline,Control,1,D1,ASSUMPTION_ENGINE_V1,AVAILABLE_STOCK_CSV,CTL03/workload.json
CTL04,RSI15 / Previous Daily RSI40 Baseline,Control,1,D1,ASSUMPTION_ENGINE_V1,AVAILABLE_STOCK_CSV,CTL04/workload.json
CTL05,Simple EMA9/21 Cross Baseline,Control,1,D1,ASSUMPTION_ENGINE_V1,AVAILABLE_STOCK_CSV,CTL05/workload.json
CTL06,Simple 15-Minute Opening-Range Breakout Baseline,Control,1,D1,ASSUMPTION_ENGINE_V1,AVAILABLE_STOCK_CSV,CTL06/workload.json
MR01,Deep RSI Reversal with Early-Time Gate,Mean reversion,1,D1,ASSUMPTION_ENGINE_V1,AVAILABLE_STOCK_CSV,MR01/workload.json
MR02,RSI + Williams %R Recovery,Mean reversion,1,D1,ASSUMPTION_ENGINE_V1,AVAILABLE_STOCK_CSV,MR02/workload.json
MR03,Lower Bollinger Re-entry + RSI,Mean reversion,1,D1,ASSUMPTION_ENGINE_V1,AVAILABLE_STOCK_CSV,MR03/workload.json
MR04,Stochastic Recovery in Low-ADX Regime,Mean reversion,2,D1,ASSUMPTION_ENGINE_V1,AVAILABLE_STOCK_CSV,MR04/workload.json
MR05,CCI Extreme + VWAP Reclaim,Mean reversion,2,D1,ASSUMPTION_ENGINE_V1,AVAILABLE_STOCK_CSV,MR05/workload.json
MR06,Opening Flush + Hammer + Volume Climax,Mean reversion,1,D2,ASSUMPTION_ENGINE_V1,AVAILABLE_WITH_NIFTY_VIX_AND_SECTOR_PROXY_ASSUMPTIONS,MR06/workload.json
MR07,Gap-Down Fade with Opening-Range Reclaim,Mean reversion,2,D2,ASSUMPTION_ENGINE_V1,AVAILABLE_WITH_NIFTY_VIX_AND_SECTOR_PROXY_ASSUMPTIONS,MR07/workload.json
MR08,Previous-Day Low Sweep and Reclaim,Mean reversion,3,D1,ASSUMPTION_ENGINE_V1,AVAILABLE_STOCK_CSV,MR08/workload.json
MR09,20-Day Low False Breakdown + Engulfing,Mean reversion,3,D1,ASSUMPTION_ENGINE_V1,AVAILABLE_STOCK_CSV,MR09/workload.json
MR10,Beta-Adjusted Residual Shock Reversion,Mean reversion,2,D2,ASSUMPTION_ENGINE_V1,AVAILABLE_WITH_NIFTY_VIX_AND_SECTOR_PROXY_ASSUMPTIONS,MR10/workload.json
