screen_id,module,route,screen_name,purpose,primary_roles,priority,key_widgets,primary_actions,authoritative_data,empty_failure_states,responsive_behaviour,minimum_acceptance_tests
AUTH-001,Identity,/login,Login and access selection,Authenticate normal users through Google and expose a controlled local-admin route.,All,P0,Brand mark; Google button; local-admin form; environment label; support link,Google sign-in; local-admin sign-in,OIDC configuration; local identity store,OAuth unavailable; account not allowed; local route disabled; rate limit; clock skew,Single centred card; no horizontal scroll,OIDC nonce/state; invalid token; keyboard; 200% zoom; forced reset
AUTH-002,Identity,/auth/first-login,Administrator password reset,Force the bootstrap administrator to replace the one-time secret before any platform access.,Local admin,P0,Password rules; strength guidance; confirm field; recovery warning,Set new password; cancel and sign out,Local identity and password policy,Secret file missing; password reused; weak password; update conflict,Narrow form; mobile-safe validation summary,Argon2id hash; one-time credential invalidation; no password in logs
AUTH-003,Identity,/auth/callback,Google sign-in callback,Complete backend-verified Google identity exchange without exposing tokens in URLs or logs.,Google users,P0,Progress state; organisation check; error recovery,Continue; retry; contact administrator,Google ID token; invite/allow-list; role mapping,Expired token; invalid audience/issuer; uninvited account; missing email,Full-screen progress; accessible status,Token verification; CSRF/state; replay rejection; error redaction
AUTH-004,Identity,/auth/session-expired,Session expired,Protect unsaved work and guide reauthentication without silent action loss.,All,P0,Expiry explanation; draft status; sign-in action,Reauthenticate; discard draft,Session and draft store,Server unavailable; draft save failed,Modal on desktop; full page on mobile,Idle timeout; absolute timeout; draft restoration
HOME-001,Home,/dashboard/home,Existing Home screen,Preserve the current Home screen exactly as the accepted visual and navigation baseline.,Authenticated users,P0,Existing implementation only,Existing actions only,Existing APIs,Existing behaviour; no new failure interpretation,Unchanged,Visual regression; route parity; CSS isolation
MKT-001,Market Intelligence,/dashboard/market,Market overview,"Show market regime, NIFTY/VIX, breadth, sectors, flows, events and data freshness before stock selection.",Trader; researcher; reviewer,P0,Regime banner; NIFTY/VIX cards; breadth; sector heatmap; event strip; feed health,Open sector; open OIIS scan; pin event,Market summaries; index/sector/VIX; regime snapshots,Stale feed; partial breadth; market closed; event source unavailable,Cards stack; heatmap scrolls horizontally with table fallback,Freshness; market-closed; partial data; WebSocket reconnect
MKT-002,Market Intelligence,/dashboard/market/sectors/:sectorId,Sector 360,"Explain leadership, money flow, constituents, relative strength and regime sensitivity for one sector.",Trader; researcher,P1,Sector chart; constituent rank; breadth; flow; event list; comparison,Open stock; add sector filter; run list backtest,Sector indices; membership; daily/minute features,No sector proxy; latest mapping only; sparse history,Two-column desktop; single-column tablet,Point-in-time mapping; empty sector; sorting and filters
OIIS-001,OIIS,/dashboard/oiis,OIIS opportunity board,Rank daily HIGH/MEDIUM/LOW monitoring candidates while displaying canonical O/X permission and no-trade states separately.,Trader; researcher; reviewer,P0,Market state; ranked candidates; O/X scores; direction; setup state; hard gates; data quality,Open decision; add watch; create paper ticket; run backtest,OIIS decision snapshots; market/sector context; data quality,No candidates; stale O/X; directional conflict; data insufficient,Master-detail; virtualised candidate list,O<74 cannot enter; high X cannot rescue low O; zero candidates
OIIS-002,OIIS,/dashboard/oiis/decisions/:decisionId,OIIS decision evidence,"Reconstruct the exact point-in-time OIIS decision, component contributions, penalties, hard gates, trigger and versions.",Trader; researcher; auditor,P0,OFactor long/short; XFactor long/short; components; penalties; setup state; trigger; entry zone; targets; versions,Open stock; replay; export evidence; create paper ticket when allowed,Immutable decision matrix; formula/config/data hashes,Missing component; stale evidence; hard gate; setup failed/expired; option rejected,Tabbed detail; sticky identity strip,Long/short independence; version traceability; failure code exactness
OIIS-003,OIIS,/dashboard/p-diagram,Live and historical P-Diagram,"Show inputs, system, controls, noise factors, intended output, error states and observed outcome.",Researcher; auditor; reviewer,P0,Input/system/control/noise/output lanes; factor trace; source/time/version/freshness; observed path,Switch live/historical; open source; compare decisions,Decision matrix; event path; outcomes,Evidence missing; source unavailable; outcome censored,Scrollable lanes; text fallback,Every factor traceable; no browser calculation; historical outcome match
